garden	basement	elevator	balcony	floor (storey)	nmbr of rooms	construction year	unemployment	Anteil Gruenenwaehler	price
FALSE	TRUE	TRUE	TRUE	2	2	2021	3	1	1
FALSE	TRUE	FALSE	TRUE	-1	2	1955	3	3	1
TRUE	TRUE	FALSE	FALSE	2	3	1979	2	1	0
FALSE	FALSE	FALSE	FALSE	1	4	1972	2	1	0
FALSE	TRUE	FALSE	FALSE	-1	3	1912	1	3	1
TRUE	FALSE	TRUE	FALSE	3	2	1962	1	3	1
FALSE	TRUE	FALSE	TRUE	-1	2.5	1973	3	1	0
FALSE	TRUE	FALSE	TRUE	-1	2	1958	1	3	1
FALSE	TRUE	TRUE	TRUE	3	2	1910	1	3	1
FALSE	TRUE	FALSE	TRUE	-1	2	1959	3	3	1
FALSE	FALSE	FALSE	FALSE	1	2	1900	1	3	1
FALSE	TRUE	FALSE	TRUE	-1	3	1992	1	1	0
FALSE	TRUE	TRUE	TRUE	-1	2	1984	2	1	0
FALSE	TRUE	FALSE	FALSE	-1	2	1974	3	1	0
FALSE	TRUE	FALSE	TRUE	3	3	1972	2	1	0
TRUE	TRUE	FALSE	TRUE	-1	2.5	1964	3	1	0
FALSE	TRUE	FALSE	TRUE	3	3	1958	2	1	0
FALSE	FALSE	FALSE	FALSE	-1	2	1910	1	2	1
FALSE	FALSE	FALSE	TRUE	1	3	2003	2	1	0
FALSE	TRUE	FALSE	FALSE	-1	2	1956	2	3	0
FALSE	FALSE	TRUE	TRUE	5	2	2009	1	2	0
FALSE	FALSE	FALSE	TRUE	3	2	2021	3	1	0
FALSE	TRUE	FALSE	TRUE	-1	4	1975	1	1	0
FALSE	TRUE	TRUE	TRUE	-1	2	1996	2	3	1
FALSE	FALSE	FALSE	FALSE	-1	3	1974	1	1	0
FALSE	FALSE	FALSE	FALSE	-1	2	2020	3	1	0
FALSE	TRUE	FALSE	TRUE	3	3.5	1972	2	1	0
FALSE	TRUE	FALSE	FALSE	1	2	1957	1	3	1
FALSE	FALSE	FALSE	TRUE	2	2.5	1962	3	1	0
FALSE	FALSE	FALSE	TRUE	2	2.5	1962	3	1	0
FALSE	TRUE	FALSE	TRUE	-1	2	1975	1	1	0
FALSE	FALSE	FALSE	FALSE	2	3	1977	2	1	0
FALSE	TRUE	TRUE	TRUE	1	2	2021	1	2	0
